,0
0,179008
1,80362
2,96732
3,102257
4,20934
5,177558
6,188625
7,16021
8,23016
9,61024
10,17823
11,4875
12,95179
13,181446
14,40239
15,3617
16,192690
17,14723
18,132441
19,69985
20,140775
21,244667
22,126538
23,129392
24,58105
25,67972
26,183218
27,236926
28,113492
29,224871
30,124987
31,171169
32,42310
33,48140
34,223060
35,158866
36,137963
37,188557
38,176419
39,233244
40,8820
41,234033
42,65578
43,3480
44,207244
45,197978
46,184166
47,150516
48,157421
49,6492
50,212964
51,100701
52,91405
53,188773
54,111690
55,64909
56,61442
57,163215
58,211127
59,166361
60,71111
61,117392
62,153925
63,28038
64,161145
65,201282
66,69266
67,102938
68,117867
69,27381
70,122083
71,165304
72,1025
73,85456
74,123683
75,52820
76,215892
77,103002
78,46235
79,160993
80,41163
81,233268
82,20505
83,105563
84,21446
85,100715
86,231777
87,85533
88,204552
89,16447
90,229399
91,102452
92,142082
93,68075
94,77211
95,213762
96,71374
97,153970
98,3648
99,137155
100,37519
101,72742
102,62167
103,199294
104,64195
105,160700
106,109586
107,109804
108,50074
109,168284
110,114877
111,162633
112,206102
113,27473
114,4071
115,23550
116,104264
117,124302
118,5993
119,113991
120,30066
121,56164
122,216304
123,184398
124,65965
125,27573
126,140194
127,45921
128,144131
129,194039
130,236377
131,162129
132,44937
133,186687
134,159356
135,12299
136,80582
137,64313
138,62163
139,236959
140,163499
141,24562
142,132257
143,41773
144,62827
145,233755
146,85696
147,47207
148,124282
149,122695
150,112911
151,48265
152,56955
153,62931
154,9476
155,39044
156,62421
157,144799
158,51084
159,178519
160,81360
161,227398
162,165407
163,184729
164,183245
165,239210
166,210932
167,73888
168,8619
169,124228
170,244453
171,131670
172,206270
173,192944
174,112107
175,72240
176,166914
177,108239
178,174445
179,114108
180,131057
181,39263
182,114744
183,243516
184,183726
185,115093
186,144534
187,94017
188,26984
189,243496
190,124390
191,133660
192,203246
193,11091
194,93934
195,99603
196,210396
197,156368
198,177353
199,83612
200,62374
201,20235
202,63868
203,149434
204,189711
205,58132
206,71060
207,96995
208,77657
209,83508
210,197416
211,158438
212,57928
213,39485
214,104714
215,243199
216,189831
217,134290
218,190634
219,37261
220,128907
221,146584
222,90887
223,165243
224,51681
225,104001
226,194697
227,11232
228,194271
229,113417
230,43811
231,209152
232,172889
233,84432
234,107296
235,13236
236,125930
237,86496
238,202198
239,58340
240,48614
241,141352
242,96108
243,180368
244,233217
245,242669
246,232135
247,173612
248,189048
249,192858
250,29032
251,188544
252,215929
253,147267
254,124552
255,237434
256,76605
257,42704
258,232270
259,115409
260,66778
261,157256
262,74348
263,112554
264,167095
265,130033
266,73442
267,28858
268,18116
269,199067
270,182463
271,199869
272,130724
273,233288
274,152521
275,45541
276,85116
277,188805
278,100730
279,90960
280,107892
281,21190
282,112418
283,215974
284,137553
285,12751
286,55022
287,243702
288,198307
289,125593
290,19199
291,231240
292,84214
293,64815
294,165433
295,74077
296,40360
297,239149
298,30723
299,217705
300,65613
301,223027
302,70635
303,91161
304,178676
305,21517
306,87527
307,177537
308,36976
309,142323
310,136091
311,218342
312,209587
313,108685
314,100429
315,123074
316,99540
317,148409
318,28380
319,220447
320,200246
321,198551
322,110866
323,173829
324,47996
325,165763
326,143560
327,212861
328,31333
329,120715
330,237640
331,203487
332,129953
333,98866
334,22729
335,105013
336,133425
337,225364
338,122849
339,46943
340,23143
341,56162
342,233564
343,141881
344,75070
345,23340
346,221521
347,95198
348,163354
349,97217
350,57844
351,136675
352,216026
353,62147
354,90704
355,58677
356,84690
357,227308
358,63844
359,36427
360,204781
361,147158
362,139171
363,63510
364,170392
365,203901
366,61959
367,59150
368,68509
369,14997
370,162076
371,4872
372,73693
373,89565
374,62774
375,214271
376,160418
377,228961
378,227507
379,34106
380,126357
381,235615
382,96404
383,46541
384,130517
385,115980
386,60709
387,140886
388,135683
389,170883
390,169575
391,188338
392,214289
393,103046
394,185582
395,241898
396,92393
397,225844
398,30575
399,188442
400,107002
401,161497
402,39466
403,215188
404,63345
405,169273
406,116130
407,74267
408,22815
409,71195
410,172599
411,200047
412,148204
413,141547
414,194246
415,139504
416,14783
417,140470
418,455
419,94244
420,74521
421,232889
422,181354
423,200697
424,235175
425,24941
426,73552
427,52979
428,33934
429,121930
430,198409
431,79915
432,68085
433,37947
434,110135
435,182677
436,230372
437,117584
438,124565
439,220657
440,177508
441,117300
442,119215
443,42302
444,204060
445,53533
446,239096
447,202318
448,131022
449,135010
450,15245
451,88340
452,238736
453,22679
454,47539
455,159898
456,171579
457,193039
458,27934
459,182928
460,58708
461,164669
462,190487
463,209172
464,88987
465,56139
466,127833
467,193787
468,165438
469,115031
470,20512
471,174880
472,203374
473,173571
474,70231
475,58765
476,13522
477,233807
